Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Postal_Code
CA-2017-152156,08-11-2017,11-11-2017,Second Class,CG-12520,42420
CA-2017-152156,08-11-2017,11-11-2017,Second Class,CG-12520,42420
CA-2017-138688,12-06-2017,16-06-2017,Second Class,DV-13045,90036
US-2016-108966,11-10-2016,18-10-2016,Standard Class,SO-20335,33311
US-2016-108966,11-10-2016,18-10-2016,Standard Class,SO-20335,33311
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,90032
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,90032
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,90032
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,90032
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,90032
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,90032
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,90032
CA-2018-114412,15-04-2018,20-04-2018,Standard Class,AA-10480,28027
CA-2017-161389,05-12-2017,10-12-2017,Standard Class,IM-15070,98103
US-2016-118983,22-11-2016,26-11-2016,Standard Class,HP-14815,76106
US-2016-118983,22-11-2016,26-11-2016,Standard Class,HP-14815,76106
CA-2015-105893,11-11-2015,18-11-2015,Standard Class,PK-19075,53711
CA-2015-167164,13-05-2015,15-05-2015,Second Class,AG-10270,84084
CA-2015-143336,27-08-2015,01-09-2015,Second Class,ZD-21925,94109
CA-2015-143336,27-08-2015,01-09-2015,Second Class,ZD-21925,94109
CA-2015-143336,27-08-2015,01-09-2015,Second Class,ZD-21925,94109
CA-2017-137330,09-12-2017,13-12-2017,Standard Class,KB-16585,68025
CA-2017-137330,09-12-2017,13-12-2017,Standard Class,KB-16585,68025
US-2018-156909,16-07-2018,18-07-2018,Second Class,SF-20065,19140
CA-2016-106320,25-09-2016,30-09-2016,Standard Class,EB-13870,84057
CA-2017-121755,16-01-2017,20-01-2017,Second Class,EH-13945,90049
CA-2017-121755,16-01-2017,20-01-2017,Second Class,EH-13945,90049
US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,19140
US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,19140
US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,19140
US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,19140
US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,19140
US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,19140
US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,19140
CA-2018-107727,19-10-2018,23-10-2018,Second Class,MA-17560,77095
CA-2017-117590,08-12-2017,10-12-2017,First Class,GH-14485,75080
CA-2017-117590,08-12-2017,10-12-2017,First Class,GH-14485,75080
